Time,Run,Scan status,Ablation status,OPO Wavelength
2025-09-02 14:10:44,3793,Start,OFF,OFF
2025-09-02 14:10:45,3793,Stop,OFF,OFF
2025-09-02 14:10:46,3794,Start,OFF,OFF
2025-09-02 14:10:47,3794,Stop,OFF,OFF
2025-09-02 14:10:47,3795,Start,OFF,OFF
2025-09-02 14:10:49,3795,Stop,OFF,OFF
2025-09-02 14:10:49,3796,Start,OFF,OFF
2025-09-02 14:10:50,3796,Stop,OFF,OFF
2025-09-02 14:10:50,3797,Start,OFF,OFF
2025-09-02 14:10:52,3797,Stop,OFF,OFF
2025-09-02 14:10:53,3798,Start,OFF,OFF
2025-09-02 14:10:54,3798,Stop,OFF,OFF
2025-09-02 14:10:54,3799,Start,OFF,OFF
2025-09-02 14:10:56,3799,Stop,OFF,OFF
2025-09-02 14:10:56,3800,Start,OFF,OFF
2025-09-02 14:10:57,3800,Stop,OFF,OFF
2025-09-02 14:10:58,3801,Start,OFF,OFF
2025-09-02 14:10:59,3801,Stop,OFF,OFF
2025-09-02 14:10:59,3802,Start,OFF,OFF
2025-09-02 14:11:01,3802,Stop,OFF,OFF
